,Age,Cabin,Fare,Parch,Sex,Survived,1,2,3
0,3,0,1.4151057004928589,0,1,0,0,0,1
1,4,1,13.913573265075684,0,0,1,1,0,0
2,3,0,1.5468568801879883,0,0,1,0,0,1
3,4,1,10.364428520202637,0,0,1,1,0,0
4,4,0,1.5712553262710571,0,1,0,0,0,1
6,5,1,10.122884750366211,0,1,0,1,0,0
7,1,0,4.113565921783447,1,1,0,0,0,1
8,3,0,2.1730751991271973,1,0,1,0,0,1
9,2,0,5.869429111480713,0,0,1,0,1,0
10,1,1,3.259622812271118,1,0,1,0,0,1
11,5,1,5.182214260101318,0,0,1,1,0,0
12,3,0,1.5712553262710571,0,1,0,0,0,1
13,4,0,6.104473114013672,1,1,0,0,0,1
14,2,0,1.5330376625061035,0,0,0,0,0,1
15,5,0,3.1229918003082275,0,0,1,0,1,0
16,1,0,5.684821128845215,1,1,0,0,0,1
18,4,0,3.5133657455444336,0,0,0,0,0,1
20,4,0,5.074861526489258,0,1,0,0,1,0
21,4,1,2.537430763244629,0,1,1,0,1,0
22,2,0,1.5671952962875366,0,0,1,0,0,1
23,3,1,6.92913818359375,0,1,1,1,0,0
24,1,0,4.113565921783447,1,0,0,0,0,1
25,4,0,6.126431941986084,1,0,1,0,0,1
27,3,1,51.33417892456055,1,1,0,1,0,0
30,4,0,5.410739421844482,0,1,0,1,0,0
33,6,0,2.0494632720947266,0,1,0,0,1,0
34,3,0,16.038671493530273,0,1,0,1,0,0
35,4,0,10.149723052978516,0,1,0,1,0,0
37,3,0,1.5712553262710571,0,1,0,0,0,1
38,2,0,3.5133657455444336,0,0,0,0,0,1
39,2,0,2.1942336559295654,0,0,1,0,0,1
40,4,0,1.849396824836731,0,0,0,0,0,1
41,3,0,4.098926544189453,0,0,0,0,1,0
43,1,0,8.115718841552734,1,0,1,0,1,0
44,3,0,1.5379172563552856,0,0,1,0,0,1
49,2,0,3.4743282794952393,0,0,0,0,0,1
50,1,0,7.74648380279541,1,1,0,0,0,1
51,3,0,1.522458553314209,0,1,0,0,0,1
52,5,1,14.976541519165039,0,0,1,1,0,0
53,3,0,5.074861526489258,0,0,1,0,1,0
54,6,1,12.097533226013184,1,1,0,1,0,0
56,3,0,2.0494632720947266,0,0,1,0,1,0
57,3,0,1.411045789718628,0,1,0,0,0,1
58,1,0,5.416439056396484,1,0,1,0,1,0
59,1,0,9.15427017211914,1,1,0,0,0,1
60,3,0,1.411045789718628,0,1,0,0,0,1
61,4,1,15.614958763122559,0,0,1,1,0,0
62,4,1,16.29323387145996,0,1,0,1,0,0
63,1,0,5.445716857910156,1,1,0,0,0,1
66,3,1,2.0494632720947266,0,0,1,0,1,0
67,3,0,1.5923941135406494,0,1,0,0,0,1
68,2,0,1.5468568801879883,1,0,1,0,0,1
69,3,0,1.6908073425292969,0,1,0,0,0,1
70,4,0,2.0494632720947266,0,1,0,0,1,0
71,2,0,9.15427017211914,1,0,0,0,0,1
72,3,0,14.346243858337402,0,1,0,0,1,0
73,3,0,2.8212716579437256,0,1,0,0,0,1
74,4,0,11.027244567871094,0,1,1,0,0,1
75,3,1,1.493180513381958,0,1,0,0,0,1
78,1,0,5.6604228019714355,1,1,1,0,1,0
79,3,0,2.43495774269104,0,0,1,0,0,1
80,3,0,1.7566828727722168,0,1,0,0,0,1
81,3,0,1.854276418685913,0,1,1,0,0,1
83,3,0,9.193306922912598,0,1,0,1,0,0
84,2,0,2.0494632720947266,0,0,1,0,1,0
85,4,0,3.0937137603759766,0,0,1,0,0,1
86,2,0,6.709552764892578,1,1,0,0,0,1
88,3,1,51.33417892456055,1,0,1,1,0,0
89,3,0,1.5712553262710571,0,1,0,0,0,1
90,3,0,1.5712553262710571,0,1,0,0,0,1
91,3,0,1.5330376625061035,0,1,0,0,0,1
92,5,1,11.940564155578613,0,1,0,1,0,0
93,3,0,4.01597261428833,1,1,0,0,0,1
94,5,0,1.4151057004928589,0,1,0,0,0,1
96,6,1,6.764049053192139,0,1,0,1,0,0
97,3,1,12.366715431213379,1,1,1,1,0,0
98,4,0,4.489300727844238,1,0,1,0,1,0
99,4,0,5.074861526489258,0,1,0,0,1,0
100,3,0,1.5411574840545654,0,0,0,0,0,1
102,3,1,15.085514068603516,1,1,0,1,0,0
103,4,0,1.6891871690750122,0,1,0,0,0,1
104,4,0,1.5468568801879883,0,1,0,0,0,1
105,3,0,1.5411574840545654,0,1,0,0,0,1
106,3,0,1.493180513381958,0,0,1,0,0,1
108,4,0,1.5411574840545654,0,1,0,0,0,1
110,5,1,10.149723052978516,0,1,0,1,0,0
111,2,0,2.8212716579437256,0,0,0,0,0,1
112,3,0,1.5712553262710571,0,1,0,0,0,1
113,3,0,1.9177120923995972,0,0,0,0,0,1
114,2,0,2.8220720291137695,0,0,0,0,0,1
115,3,0,1.5468568801879883,0,1,0,0,0,1
116,6,0,1.5126991271972656,0,1,0,0,0,1
117,3,0,4.098926544189453,0,1,0,0,1,0
118,3,1,48.31283950805664,1,1,0,1,0,0
119,1,0,6.104473114013672,1,0,0,0,0,1
120,3,0,14.346243858337402,0,1,0,0,1,0
122,4,0,5.869429111480713,0,1,0,0,1,0
123,4,1,2.537430763244629,0,0,1,0,1,0
124,5,1,15.085514068603516,1,1,0,1,0,0
125,6,0,2.1942336559295654,0,1,1,0,0,1
127,3,0,1.3939669132232666,0,1,1,0,0,1
129,4,0,1.361429214477539,0,1,0,0,0,1
130,4,0,1.5411574840545654,0,1,0,0,0,1
131,3,0,1.376068353652954,0,1,0,0,0,1
132,5,0,2.8302114009857178,0,0,0,0,0,1
133,3,0,5.074861526489258,0,0,1,0,1,0
134,3,0,2.537430763244629,0,1,0,0,1,0
135,3,0,2.936744451522827,0,1,0,0,1,0
136,3,1,5.130158424377441,1,0,1,1,0,0
137,4,1,10.364428520202637,0,1,0,1,0,0
138,2,0,1.7989798784255981,0,1,0,0,0,1
139,3,1,15.458808898925781,0,1,0,1,0,0
141,3,0,1.5126991271972656,0,0,1,0,0,1
142,3,0,3.0937137603759766,0,0,1,0,0,1
143,3,0,1.3175121545791626,0,1,0,0,0,1
144,2,0,2.244650363922119,0,1,0,0,1,0
145,3,0,7.173121929168701,1,1,0,0,1,0
146,3,0,1.5216387510299683,0,1,1,0,0,1
147,1,0,6.709552764892578,1,0,0,0,0,1
148,4,1,5.074861526489258,1,1,0,0,1,0
149,4,0,2.537430763244629,0,1,0,0,1,0
150,5,0,2.4447169303894043,0,1,0,0,1,0
151,3,1,12.9994535446167,0,0,1,1,0,0
152,5,0,1.5712553262710571,0,1,0,0,0,1
153,4,0,2.8302114009857178,1,1,0,0,0,1
155,5,0,11.98042106628418,1,1,0,1,0,0
156,2,0,1.5094395875930786,0,0,1,0,0,1
157,3,0,1.5712553262710571,0,1,0,0,0,1
160,4,0,3.1425106525421143,1,1,0,0,0,1
161,4,0,3.074195146560669,0,0,1,0,1,0
162,3,0,1.5175788402557373,0,1,0,0,0,1
163,2,0,1.6908073425292969,0,1,0,0,0,1
164,1,0,7.74648380279541,1,1,0,0,0,1
165,1,0,4.0062127113342285,1,1,1,0,0,1
167,4,0,5.445716857910156,1,0,0,0,0,1
169,3,0,11.027244567871094,0,1,0,0,0,1
170,6,1,6.538763999938965,0,1,0,1,0,0
171,1,0,5.684821128845215,1,1,0,0,0,1
172,1,0,2.1730751991271973,1,0,1,0,0,1
173,3,0,1.5468568801879883,0,1,0,0,0,1
174,5,1,5.991420745849609,0,1,0,1,0,0
175,2,0,1.5330376625061035,1,1,0,0,0,1
177,5,1,5.604306221008301,0,0,0,1,0,0
178,3,0,2.537430763244629,0,1,0,0,1,0
179,4,0,0.0,0,1,0,0,0,1
182,1,0,6.126431941986084,1,1,0,0,0,1
183,1,1,7.612292289733887,1,1,1,0,1,0
184,1,0,4.298993110656738,1,0,1,0,0,1
187,4,0,5.182214260101318,0,1,1,1,0,0
188,4,0,3.0253982543945312,1,1,0,0,0,1
189,4,0,1.5411574840545654,0,1,0,0,0,1
190,4,0,2.537430763244629,0,0,1,0,1,0
191,3,0,2.537430763244629,0,1,0,0,1,0
192,3,0,1.5330376625061035,0,0,1,0,0,1
193,1,1,5.074861526489258,1,1,1,0,1,0
194,4,1,5.410739421844482,0,0,1,1,0,0
195,5,1,28.598953247070312,0,0,1,1,0,0
197,4,0,1.640390396118164,1,1,0,0,0,1
199,3,0,2.537430763244629,0,0,0,0,1,0
200,3,0,1.854276418685913,0,1,0,0,0,1
202,4,0,1.2678955793380737,0,1,0,0,0,1
203,5,0,1.4102259874343872,0,1,0,0,0,1
204,2,0,1.5712553262710571,0,1,1,0,0,1
205,1,1,2.0421438217163086,1,0,0,0,0,1
206,4,0,3.0937137603759766,0,1,0,0,0,1
207,3,0,3.6670756340026855,0,1,1,0,0,1
208,2,0,1.5126991271972656,0,0,1,0,0,1
209,4,1,6.0507965087890625,0,1,1,1,0,0
210,3,0,1.376068353652954,0,1,0,0,0,1
211,4,0,4.098926544189453,0,0,1,0,1,0
212,3,0,1.4151057004928589,0,1,0,0,0,1
213,3,0,2.537430763244629,0,1,0,0,1,0
215,4,1,22.109806060791016,0,0,1,1,0,0
216,3,0,1.5468568801879883,0,0,1,0,0,1
217,4,0,5.27004861831665,0,1,0,0,1,0
218,4,1,14.89114761352539,0,0,1,1,0,0
219,3,0,2.0494632720947266,0,1,0,0,1,0
220,2,0,1.5712553262710571,0,1,1,0,0,1
221,3,0,2.537430763244629,0,1,0,0,1,0
222,5,0,1.5712553262710571,0,1,0,0,0,1
224,4,1,17.566829681396484,0,1,1,1,0,0
225,3,0,1.824998378753662,0,1,0,0,0,1
226,3,0,2.0494632720947266,0,1,1,0,1,0
227,3,0,1.4151057004928589,0,1,0,0,0,1
228,2,0,2.537430763244629,0,1,0,0,1,0
230,4,1,16.29323387145996,0,0,1,1,0,0
231,3,0,1.5175788402557373,0,1,0,0,0,1
232,5,0,2.635024309158325,0,1,0,0,1,0
233,1,0,6.126431941986084,1,0,1,0,0,1
234,3,0,2.0494632720947266,0,1,0,0,1,0
236,4,0,5.074861526489258,0,1,0,0,1,0
237,1,0,5.123658657073975,1,0,1,0,1,0
238,3,0,2.0494632720947266,0,1,0,0,1,0
239,4,0,2.3959202766418457,0,1,0,0,1,0
242,3,0,2.0494632720947266,0,1,0,0,1,0
243,3,0,1.39070725440979,0,1,0,0,0,1
244,3,0,1.4102259874343872,0,1,0,0,0,1
245,4,1,17.566829681396484,0,1,0,1,0,0
246,3,0,1.5175788402557373,0,0,0,0,0,1
247,3,0,2.8302114009857178,1,0,1,0,1,0
248,4,1,10.257895469665527,1,1,1,1,0,0
249,5,0,5.074861526489258,0,1,0,0,1,0
251,3,1,2.0421438217163086,1,0,0,0,0,1
252,6,1,5.182214260101318,0,1,0,1,0,0
253,3,0,3.1425106525421143,0,1,0,0,0,1
254,4,0,3.9452168941497803,1,0,0,0,0,1
255,3,0,2.9757816791534424,1,0,1,0,0,1
257,3,1,16.88367462158203,0,0,1,1,0,0
258,4,0,100.0,0,0,1,1,0,0
259,5,0,5.074861526489258,1,0,1,0,1,0
261,1,0,6.126431941986084,1,1,1,0,0,1
262,5,1,15.54664421081543,1,1,0,1,0,0
263,4,1,0.0,0,1,0,1,0,0
265,4,0,2.0494632720947266,0,1,0,0,1,0
266,2,0,7.74648380279541,1,1,0,0,0,1
267,3,0,1.5175788402557373,0,1,1,0,0,1
268,5,1,29.953882217407227,1,0,1,1,0,0
269,4,1,26.47385597229004,0,0,1,1,0,0
271,3,0,0.0,0,1,1,0,0,1
272,4,0,3.8061461448669434,1,0,1,0,1,0
273,4,1,5.797053813934326,1,1,0,1,0,0
275,6,1,15.216444969177246,0,0,1,1,0,0
276,4,0,1.5126991271972656,0,0,0,0,0,1
278,1,0,5.684821128845215,1,1,0,0,0,1
279,4,0,3.9525365829467773,1,0,1,0,0,1
280,6,0,1.5126991271972656,0,1,0,0,0,1
281,3,0,1.5330376625061035,0,1,0,0,0,1
282,2,0,1.854276418685913,0,1,0,0,0,1
283,3,0,1.5712553262710571,0,1,1,0,0,1
285,4,0,1.6908073425292969,0,1,0,0,0,1
286,3,0,1.854276418685913,0,1,1,0,0,1
287,3,0,1.5411574840545654,0,1,0,0,0,1
288,4,0,2.537430763244629,0,1,1,0,1,0
289,3,0,1.5126991271972656,0,0,1,0,0,1
290,3,0,15.390493392944336,0,0,1,1,0,0
291,3,1,17.777475357055664,0,0,1,1,0,0
292,4,1,2.5130324363708496,0,1,0,0,1,0
293,3,0,1.7274049520492554,0,0,0,0,0,1
294,3,0,1.5411574840545654,0,1,0,0,0,1
296,3,0,1.411045789718628,0,1,0,0,0,1
297,1,1,29.580589294433594,1,0,0,1,0,0
299,5,1,48.31283950805664,1,0,1,1,0,0
302,3,0,0.0,0,1,0,0,0,1
305,1,1,29.580589294433594,1,1,1,1,0,0
307,2,1,21.255863189697266,0,0,1,1,0,0
308,3,0,4.684487819671631,0,1,0,0,1,0
309,3,1,11.111839294433594,0,0,1,1,0,0
310,3,1,16.23141860961914,0,0,1,1,0,0
311,2,1,51.21218490600586,1,0,1,1,0,0
312,3,0,5.074861526489258,1,0,0,0,1,0
313,3,0,1.5411574840545654,0,1,0,0,0,1
314,4,0,5.123658657073975,1,1,0,0,1,0
315,3,0,1.5330376625061035,0,0,1,0,0,1
316,3,0,5.074861526489258,0,0,1,0,1,0
317,5,0,2.7326178550720215,0,1,0,0,1,0
318,4,1,32.179832458496094,1,0,1,1,0,0
319,4,1,26.252649307250977,1,0,1,1,0,0
320,3,0,1.4151057004928589,0,1,0,0,0,1
321,3,0,1.5411574840545654,0,1,0,0,0,1
322,3,0,2.4105594158172607,0,0,1,0,1,0
323,3,0,5.6604228019714355,1,0,1,0,1,0
325,4,1,26.47385597229004,0,0,1,1,0,0
326,6,0,1.21747887134552,0,1,0,0,0,1
327,4,1,2.537430763244629,0,0,1,0,1,0
328,4,0,4.0062127113342285,1,0,1,0,0,1
329,2,1,11.316784858703613,1,0,1,1,0,0
331,5,1,5.56282901763916,0,1,0,1,0,0
332,4,1,29.953882217407227,1,1,0,1,0,0
333,2,0,3.5133657455444336,0,1,0,0,0,1
336,3,1,12.9994535446167,0,1,0,1,0,0
337,4,1,26.252649307250977,0,0,1,1,0,0
338,4,0,1.5712553262710571,0,1,1,0,0,1
339,4,1,6.92913818359375,0,1,0,1,0,0
340,1,1,5.074861526489258,1,1,1,0,1,0
341,3,1,51.33417892456055,1,0,1,1,0,0
342,3,0,2.537430763244629,0,1,0,0,1,0
343,3,0,2.537430763244629,0,1,0,0,1,0
344,4,0,2.537430763244629,0,1,0,0,1,0
345,3,1,2.537430763244629,0,0,1,0,1,0
346,4,0,2.537430763244629,0,0,1,0,1,0
348,1,0,3.103472948074341,1,1,1,0,0,1
349,4,0,1.6908073425292969,0,1,0,0,0,1
350,3,0,1.8006000518798828,0,1,0,0,0,1
352,2,0,1.411045789718628,1,1,0,0,0,1
353,3,0,3.4743282794952393,0,1,0,0,0,1
355,3,0,1.854276418685913,0,1,0,0,0,1
356,3,1,10.735283851623535,1,0,1,1,0,0
357,4,0,2.537430763244629,0,0,0,0,1,0
360,4,0,5.445716857910156,1,1,0,0,0,1
361,3,0,5.410739421844482,0,1,0,0,1,0
362,4,0,2.8212716579437256,1,0,0,0,0,1
363,4,0,1.376068353652954,0,1,0,0,0,1
365,3,0,1.4151057004928589,0,1,0,0,0,1
366,5,1,14.687820434570312,0,0,1,1,0,0
369,3,1,13.526458740234375,0,0,1,1,0,0
370,3,1,10.82149887084961,0,1,1,1,0,0
371,2,0,1.2678955793380737,0,1,0,0,0,1
372,3,0,1.5712553262710571,0,1,0,0,0,1
373,3,0,26.47385597229004,0,1,0,1,0,0
374,1,0,4.113565921783447,1,0,0,0,0,1
376,3,0,1.4151057004928589,0,0,1,0,0,1
377,3,1,41.282047271728516,1,1,0,1,0,0
378,3,0,0.783187747001648,0,1,0,0,0,1
379,3,0,1.5175788402557373,0,1,0,0,0,1
380,4,0,44.40991973876953,0,0,1,1,0,0
381,1,0,3.072575092315674,1,0,1,0,0,1
382,4,0,1.5468568801879883,0,1,0,0,0,1
383,4,0,10.149723052978516,0,0,1,1,0,0
385,2,0,14.346243858337402,0,1,0,0,1,0
386,1,0,9.15427017211914,1,1,0,0,0,1
387,4,0,2.537430763244629,0,0,1,0,1,0
389,2,0,2.3422439098358154,0,0,1,0,1,0
390,4,1,23.42243766784668,1,1,1,1,0,0
391,3,0,1.5216387510299683,0,1,1,0,0,1
392,3,0,1.5468568801879883,0,1,0,0,0,1
393,3,1,22.109806060791016,0,0,1,1,0,0
394,3,1,3.259622812271118,1,0,1,0,0,1
395,3,0,1.5216387510299683,0,1,0,0,0,1
396,4,0,1.5330376625061035,0,0,0,0,0,1
397,5,0,5.074861526489258,0,1,0,0,1,0
398,3,0,2.0494632720947266,0,1,0,0,1,0
399,3,0,2.4691152572631836,0,0,1,0,1,0
400,4,0,1.5468568801879883,0,1,1,0,0,1
401,3,0,1.5712553262710571,0,1,0,0,0,1
402,3,0,1.9177120923995972,0,0,0,0,0,1
403,3,0,3.0937137603759766,0,1,0,0,0,1
404,3,0,1.6908073425292969,0,0,0,0,0,1
405,4,0,4.098926544189453,0,1,0,0,1,0
406,5,0,1.5126991271972656,0,1,0,0,0,1
407,1,0,3.6597559452056885,1,1,1,0,1,0
408,3,0,1.5175788402557373,0,1,0,0,0,1
412,4,1,17.566829681396484,0,0,1,1,0,0
414,4,0,1.5468568801879883,0,1,1,0,0,1
416,4,0,6.343576908111572,1,0,1,0,1,0
417,2,0,2.537430763244629,1,0,1,0,1,0
418,3,0,2.537430763244629,0,1,0,0,1,0
419,1,0,4.713765621185303,1,0,0,0,0,1
421,3,0,1.5094395875930786,0,1,0,0,0,1
422,3,0,1.5370975732803345,0,1,0,0,0,1
423,3,0,2.810692548751831,1,0,0,0,0,1
424,2,0,3.9452168941497803,1,1,0,0,0,1
426,3,0,5.074861526489258,0,0,1,0,1,0
427,3,0,5.074861526489258,0,0,1,0,1,0
429,4,1,1.5712553262710571,0,1,1,0,0,1
430,3,1,5.182214260101318,0,1,1,1,0,0
432,4,0,5.074861526489258,0,0,1,0,1,0
433,2,0,1.39070725440979,0,1,0,0,0,1
434,5,1,10.9109525680542,0,1,0,1,0,0
435,2,1,23.42243766784668,1,0,1,1,0,0
436,3,0,6.709552764892578,1,0,0,0,0,1
437,3,0,3.6597559452056885,1,0,1,0,1,0
438,6,1,51.33417892456055,1,1,0,1,0,0
439,4,0,2.0494632720947266,0,1,0,0,1,0
440,4,0,5.123658657073975,1,0,1,0,1,0
441,3,0,1.854276418685913,0,1,0,0,0,1
442,3,0,1.5175788402557373,0,1,0,0,0,1
443,3,0,2.537430763244629,0,0,1,0,1,0
445,1,1,15.97767448425293,1,1,1,1,0,0
446,2,0,3.8061461448669434,1,0,1,0,1,0
447,4,0,5.182214260101318,0,1,1,1,0,0
448,1,0,3.758969783782959,1,0,1,0,0,1
449,5,1,5.953203201293945,0,1,1,1,0,0
450,4,0,5.416439056396484,1,1,0,0,1,0
452,3,1,5.416439056396484,0,1,0,1,0,0
453,5,1,17.39198112487793,0,1,1,1,0,0
455,3,0,1.5411574840545654,0,1,1,0,0,1
456,6,1,5.182214260101318,0,1,0,1,0,0
458,5,0,2.0494632720947266,0,0,1,0,1,0
460,5,1,5.182214260101318,0,1,1,1,0,0
461,4,0,1.5712553262710571,0,1,0,0,0,1
462,5,1,7.5146989822387695,0,1,0,1,0,0
463,5,0,2.537430763244629,0,1,0,0,1,0
465,4,0,1.376068353652954,0,1,0,0,0,1
467,5,0,5.182214260101318,0,1,0,1,0,0
469,1,0,3.758969783782959,1,0,1,0,0,1
471,4,0,1.6908073425292969,0,1,0,0,0,1
472,4,0,5.416439056396484,1,0,1,0,1,0
473,3,1,2.691960334777832,0,0,1,0,1,0
474,3,0,1.920151948928833,0,0,0,0,0,1
476,4,0,4.098926544189453,0,1,0,0,1,0
477,3,0,1.3752485513687134,0,1,0,0,0,1
478,3,0,1.4679622650146484,0,1,0,0,0,1
479,1,0,2.398360252380371,1,0,1,0,0,1
480,1,0,9.15427017211914,1,1,0,0,0,1
482,5,0,1.5712553262710571,0,1,0,0,0,1
483,6,0,1.8713551759719849,0,0,1,0,0,1
484,3,1,17.777475357055664,0,1,1,1,0,0
486,4,1,17.566829681396484,0,0,1,1,0,0
487,5,1,5.797053813934326,0,1,0,1,0,0
488,3,0,1.5712553262710571,0,1,0,0,0,1
489,1,0,3.103472948074341,1,1,1,0,0,1
491,3,0,1.4151057004928589,0,1,0,0,0,1
492,5,1,5.953203201293945,0,1,0,1,0,0
493,6,0,9.662575721740723,0,1,0,1,0,0
494,3,0,1.5712553262710571,0,1,0,0,0,1
496,5,1,15.276641845703125,0,0,1,1,0,0
498,3,1,29.580589294433594,1,0,0,1,0,0
499,3,0,1.5216387510299683,0,1,0,0,0,1
500,2,0,1.6908073425292969,0,1,0,0,0,1
501,3,0,1.5126991271972656,0,0,0,0,0,1
503,4,0,1.8713551759719849,0,0,0,0,0,1
504,2,1,16.88367462158203,0,0,1,1,0,0
505,2,1,21.255863189697266,0,1,0,1,0,0
506,4,0,5.074861526489258,1,0,1,0,1,0
508,3,0,4.396586894989014,0,1,0,0,0,1
509,3,0,11.027244567871094,0,1,1,0,0,1
510,3,0,1.5126991271972656,0,1,1,0,0,1
512,4,1,5.130978107452393,0,1,1,1,0,0
513,5,0,11.594107627868652,0,0,1,1,0,0
514,3,0,1.4630826711654663,0,1,0,0,0,1
515,5,1,6.640417575836182,0,1,0,1,0,0
516,4,1,2.0494632720947266,0,0,1,0,1,0
518,4,0,5.074861526489258,0,0,1,0,1,0
519,4,0,1.5411574840545654,0,1,0,0,0,1
520,3,1,18.249982833862305,0,0,1,1,0,0
521,3,0,1.5411574840545654,0,1,0,0,0,1
523,4,1,11.316784858703613,1,0,1,1,0,0
525,4,0,1.5126991271972656,0,1,0,0,0,1
526,5,0,2.0494632720947266,0,0,1,0,1,0
528,4,0,1.5468568801879883,0,1,0,0,0,1
529,3,0,2.244650363922119,1,1,0,0,1,0
530,1,0,5.074861526489258,1,0,1,0,1,0
532,2,0,1.411045789718628,1,1,0,0,0,1
534,3,0,1.6908073425292969,0,0,0,0,0,1
535,1,0,5.123658657073975,1,0,1,0,1,0
536,4,1,5.182214260101318,0,1,0,1,0,0
537,3,0,20.772775650024414,0,0,1,1,0,0
539,3,1,9.661755561828613,1,0,1,1,0,0
540,4,1,13.8582763671875,1,0,1,1,0,0
541,1,0,6.104473114013672,1,0,0,0,0,1
542,1,0,6.104473114013672,1,0,0,0,0,1
543,4,0,5.074861526489258,0,1,1,0,1,0
544,5,1,20.772775650024414,0,1,0,1,0,0
545,6,0,5.074861526489258,0,1,0,1,0,0
546,3,0,5.074861526489258,0,0,1,0,1,0
548,4,0,4.0062127113342285,1,1,0,0,0,1
549,1,0,7.173121929168701,1,1,1,0,1,0
550,2,1,21.642976760864258,1,1,1,1,0,0
551,3,0,5.074861526489258,0,1,0,0,1,0
553,3,0,1.4102259874343872,0,1,1,0,0,1
554,3,0,1.5175788402557373,0,0,1,0,0,1
555,6,0,5.182214260101318,0,1,0,1,0,0
556,5,1,7.729404449462891,0,0,1,1,0,0
558,4,1,15.54664421081543,1,0,1,1,0,0
